	optim	Training Loss	Validation Loss	Elapsed Time	lr	Model Saved	Recs
1	Adam	4.85302095641633	4.7013415005392645	580.391252040863	0.006375	Model saved	6680
2	Adam	4.699716536584728	4.509698339565071	119.61358880996704	0.00625	Model saved	6680
3	Adam	4.596398099453864	4.430465526923449	120.47658276557922	0.006125	Model saved	6680
4	Adam	4.546158667809949	4.848729473388124	120.94482278823851	0.006	Model overfitting	6680
5	Adam	4.473519540118599	4.448782155613699	121.06696128845215	0.005875		6680
6	Adam	4.416668026747104	4.277828590598649	118.89803123474121	0.00575	Model saved	6680
7	Adam	4.357133237187734	4.31293567212042	120.16353797912598	0.005625		6680
8	Adam	4.309038334977841	4.007320912298328	119.3566358089447	0.0055	Model saved	6680
9	Adam	4.248214044256838	4.008064061581732	121.5754463672638	0.005375		6680
10	Adam	4.1966113166180925	3.982712994078676	120.5862159729004	0.00525	Model saved	6680
11	Adam	4.138391092865767	3.846613966776226	120.87940049171448	0.005124999999999999	Model saved	6680
12	Adam	4.095050950250227	3.823096438082392	120.16025614738464	0.004999999999999999	Model saved	6680
13	Adam	4.036808348701387	3.7485030125715064	119.83129382133484	0.004875	Model saved	6680
14	Adam	3.9934437025093033	3.932044333326602	120.44459056854248	0.00475		6680
15	Adam	3.94058350103344	3.601539864511547	121.51729941368104	0.004625	Model saved	6680
16	Adam	3.874834376180957	3.6739865748468272	122.53522872924805	0.0045000000000000005		6680
17	Adam	3.840095592116168	3.7227438210013375	122.52769184112549	0.004375		6680
18	Adam	3.793771420410293	3.671107524883247	122.92938685417177	0.00425		6680
19	Adam	3.7395686517932463	3.421336538063552	122.64834451675415	0.004125	Model saved	6680
20	Adam	3.6875188736144655	3.2651100558435133	123.22052597999573	0.004	Model saved	6680
21	Adam	3.726473655529365	3.7760012249746717	122.93864583969116	0.0065	Model overfitting	6680
22	Adam	3.7287419406239857	3.32885119443882	122.7393319606781	0.006375		6680
23	Adam	3.6725262681881112	3.3675823054627743	123.05424189567566	0.00625		6680
24	Adam	3.5937073808944158	3.2611746987896764	122.19112968444824	0.006125	Model saved	6680
25	Adam	3.538888241716488	3.156457094375245	122.9537582397461	0.006	Model saved	6680
26	Adam	3.4762647273297795	3.099565104810064	122.2684850692749	0.005875	Model saved	6680
27	Adam	3.4233596874568275	3.0047380196120215	122.2911946773529	0.00575	Model saved	6680
28	Adam	3.3916794183011536	2.8977078163695187	122.60078239440918	0.005625	Model saved	6680
29	Adam	3.332740241182065	2.9326155114316657	122.87235236167908	0.0055		6680
30	Adam	3.2975137562095047	2.7269067707175982	122.4306423664093	0.005375	Model saved	6680
31	Adam	3.222995729503517	2.7727138839082093	122.6067202091217	0.00525		6680
32	Adam	3.2076091702112897	2.728424000882817	122.036479473114	0.005124999999999999		6680
33	Adam	3.13509946026488	2.686969911266944	121.69345664978027	0.004999999999999999	Model saved	6680
34	Adam	3.092484989566004	2.6696649953990637	122.70791721343994	0.004875	Model saved	6680
35	Adam	2.999908031817682	2.5295403446266036	121.7039840221405	0.00475	Model saved	6680
36	Adam	2.98103837053219	2.5429773159369735	123.05491256713867	0.004625		6680
37	Adam	2.905163435878868	2.4248995424030784	122.95602440834045	0.0045000000000000005	Model saved	6680
38	Adam	2.8848934994486277	2.453775439433709	122.88044857978821	0.004375		6680
39	Adam	2.838969086101669	2.5774235225723174	121.8114767074585	0.00425		6680
40	Adam	2.7848259981520878	2.43769640836887	121.21129202842712	0.004125		6680
41	Adam	2.769151378534511	2.5419017155013397	122.09164834022522	0.004		6680
42	Adam	2.8544262897468613	2.558613370278638	122.47467637062073	0.0065	Model underfitting	6680
43	Adam	2.8500947395484606	2.7241943953279963	121.54551386833191	0.006375		6680
44	Adam	2.8253256764240606	2.4986632384225995	122.15096759796143	0.0062499999999999995		6680
45	Adam	2.771971822141887	2.5086002092875406	121.7635452747345	0.006125		6680
46	Adam	2.7308136824362292	2.428856145835922	121.18060755729675	0.006		6680
47	Adam	2.6793982979066358	2.2511094044782443	121.51420450210571	0.005875	Model saved	6680
48	Adam	2.6740095611817822	2.31877557246271	121.8201355934143	0.00575		6680
49	Adam	2.639060362013514	2.4815449700384082	121.02316164970398	0.005625		6680
50	Adam	2.647199900564319	2.388400490412455	120.23973798751831	0.0055		6680
51	Adam	2.58531498944688	2.4168246934513844	120.525883436203	0.005375		6680
52	Adam	2.53575226075635	2.2553814256976463	121.49874114990234	0.0052499999999999995		6680
53	Adam	2.497705735132366	2.377956625944126	121.71797847747803	0.005124999999999999		6680
54	Adam	2.4693998276830436	2.214610665144321	121.34772634506226	0.004999999999999999	Model saved	6680
55	Adam	2.4342650706896527	2.3752754369895617	120.86103057861328	0.004875		6680
56	Adam	2.3937069737982606	2.365867079375033	121.44045305252075	0.00475		6680
57	Adam	2.3826446618862493	2.3147102473024836	121.89044165611267	0.004625		6680
58	Adam	2.354750976591053	2.3635119278273895	121.91465044021606	0.0045000000000000005	Model overfitting	6680
59	Adam	2.337283044518111	2.187006599175002	121.63951086997986	0.004375	Model saved	6680
60	Adam	2.31327362902864	2.170710537961857	122.21304392814636	0.00425	Model saved	6680
61	Adam	2.273960399413537	2.188723536308654	121.51652932167053	0.004125		6680
62	Adam	2.2720805142454044	2.2732753004142623	121.41251230239868	0.004	Model overfitting	6680
63	Adam	2.3532352897221456	2.549313926411246	121.0566635131836	0.0065	Model overfitting	6680
64	Adam	2.358384052436509	2.496378243326427	121.16541194915771	0.006375	Model overfitting	6680
65	Adam	2.336153395875485	2.540530308991849	121.06365942955017	0.0062499999999999995	Model overfitting	6680
66	Adam	2.2990564557606588	2.391608542310977	121.46032786369324	0.006125	Model overfitting	6680
67	Adam	2.2678830919865365	2.2860895773607814	121.82753372192383	0.006	Model overfitting	6680
68	Adam	2.2624959003425644	2.4716901607856063	121.55256366729736	0.005875	Model overfitting	6680
69	Adam	2.214917616929837	2.307247169003515	120.61771368980408	0.00575	Model overfitting	6680
70	Adam	2.161828874470945	2.282874133058651	120.35509204864502	0.005625	Model overfitting	6680
71	Adam	2.204453812744803	2.2168836529383404	119.78213095664978	0.0055	Model overfitting	6680
72	Adam	2.148495727313493	2.1903517831585364	121.32999610900879	0.005375	Model overfitting	6680
73	Adam	2.1799440198315834	2.2143327347532717	120.63413190841675	0.0052499999999999995	Model overfitting	6680
74	Adam	2.096605734910794	2.302839908771172	120.92353248596191	0.005124999999999999	Model overfitting	6680
75	Adam	2.1011108081497833	2.1956828411467777	121.54728746414185	0.004999999999999999	Model overfitting	6680
76	Adam	2.061249275050477	2.2546189359562128	121.20401668548584	0.004875	Model overfitting	6680
77	Adam	2.034978185942073	2.305082539598385	122.08670258522034	0.00475	Model overfitting	6680
78	Adam	2.074244373215887	2.1500680989134096	121.7494478225708	0.004625	Model saved(overfitting)	6680
79	Adam	2.026038823370448	2.2453692230635776	121.93912625312805	0.0045000000000000005	Model overfitting	6680
80	Adam	2.005037731753138	2.217353421057056	121.91256856918335	0.004375	Model overfitting	6680
81	Adam	1.9735190170610737	2.23430794584537	122.30955767631531	0.00425	Model overfitting	6680
82	Adam	1.9347136075982077	2.1977252246376997	122.45941066741943	0.004125	Model overfitting	6680
83	Adam	1.9555762165677761	2.1101379280318757	122.14596605300903	0.004	Model saved(overfitting)	6680
84	Adam	2.029012620449066	2.3502934992670297	121.87355399131775	0.0065	Model overfitting	6680
85	Adam	2.0548579252051735	2.419610270483051	122.54902696609497	0.006375	Model overfitting	6680
86	Adam	2.023915550309027	2.2447258369651384	122.15842771530151	0.0062499999999999995	Model overfitting	6680
87	Adam	2.0333778329952032	2.255401652730154	122.30467414855957	0.006125	Model overfitting	6680
88	Adam	2.0141088466444415	2.251538555065315	122.4017288684845	0.006	Model overfitting	6680
89	Adam	2.002535499141602	2.3307332935447462	122.86683511734009	0.005875	Model overfitting	6680
90	Adam	1.9587561973554646	2.3087702711185294	123.22812342643738	0.00575	Model overfitting	6680
91	Adam	1.9688236397540497	2.3119235095863573	122.33012676239014	0.005625	Model overfitting	6680
92	Adam	1.9319032648366368	2.235731547464154	122.73895597457886	0.0055	Model overfitting	6680
93	Adam	1.9080942308831357	2.2725560850725914	122.27633714675903	0.005375	Model overfitting	6680
94	Adam	1.8778643875778793	2.373476312545959	121.84648633003235	0.0052499999999999995	Model overfitting	6680
95	Adam	1.875543968406266	2.29809350453451	122.46313309669495	0.005124999999999999	Model overfitting	6680
96	Adam	1.8394060930806007	2.299948994984884	122.3979389667511	0.004999999999999999	Model overfitting	6680
97	Adam	1.8349855292343094	2.2468091613518264	122.696298122406	0.004875	Model overfitting	6680
98	Adam	1.8552424366959555	2.2340659895342982	122.19680881500244	0.00475	Model overfitting	6680
99	Adam	1.8197241637878074	2.200039453849107	121.38061881065369	0.004625	Model overfitting	6680
100	Adam	1.801639569376757	2.148202677686771	120.076988697052	0.0045000000000000005	Model overfitting	6680
